Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Purchase Amount (USD),Season,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,Kentucky,L,Gray,53,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,Male,Sweater,Clothing,Maine,L,Maroon,64,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Male,Jeans,Clothing,Massachusetts,S,Maroon,73,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Male,Sandals,Footwear,Rhode Island,M,Maroon,90,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,Male,Blouse,Clothing,Oregon,M,Turquoise,49,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,Male,Sneakers,Footwear,Wyoming,M,White,20,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
7,63,Male,Shirt,Clothing,Montana,M,Gray,85,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Male,Shorts,Clothing,Louisiana,L,Charcoal,34,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Male,Coat,Outerwear,West Virginia,L,Silver,97,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
10,57,Male,Handbag,Accessories,Missouri,M,Pink,31,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Male,Shoes,Footwear,Arkansas,L,Purple,34,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Male,Shorts,Clothing,Hawaii,S,Olive,68,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Male,Coat,Outerwear,Delaware,M,Gold,72,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,Male,Dress,Clothing,New Hampshire,M,Violet,51,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,64,Male,Coat,Outerwear,New York,L,Teal,53,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Male,Skirt,Clothing,Rhode Island,M,Teal,81,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,Male,Sunglasses,Accessories,Alabama,S,Gray,36,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Male,Dress,Clothing,Mississippi,XL,Lavender,38,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,52,Male,Sweater,Clothing,Montana,S,Black,48,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Male,Pants,Clothing,Rhode Island,M,Green,90,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
